Chemotype,Tree,Lat,Long,usnea_DBH,usnea_Height
thamnolic,3,44.042669,-74.260359,10,19.93
squamatic,3,44.042669,-74.260359,10,19.93
squamatic,5,44.042672,-74.260414,2.6,21.54
squamatic,5,44.042672,-74.260414,8.5,19.76
thamnolic,7,44.042529,-74.260492,9.6,17.05
squamatic,7,44.042529,-74.260492,1.8,20.5
squamatic,7,44.042529,-74.260492,6,19.17
squamatic,7,44.042529,-74.260492,1.5,20.5
squamatic,7,44.042529,-74.260492,1.3,20.2
squamatic,7,44.042529,-74.260492,2.2,19.83
squamatic,8,44.042545,-74.26051,6,21.22
squamatic,8,44.042545,-74.26051,12.3,19.74
squamatic,10,44.042546,-74.260247,4.8,16.88
squamatic,10,44.042546,-74.260247,7.6,16.95
squamatic,10,44.042546,-74.260247,6.9,17.61
squamatic,10,44.042546,-74.260247,7.2,17.08
squamatic,11,44.04283,-74.260259,5.1,15.68
squamatic,11,44.04283,-74.260259,3.3,19.16
squamatic,12,44.042478,-74.260276,8.3,18.85
squamatic,15,44.04252,-74.260894,4.8,14.45
squamatic,15,44.04252,-74.260894,7.6,17.3
squamatic,15,44.04252,-74.260894,5.4,17.48
squamatic,15,44.04252,-74.260894,5.4,15.6
squamatic,17,44.042555,-74.260973,5,17.13
squamatic,17,44.042555,-74.260973,4,17.63
squamatic,18,44.042615,-74.260921,7.1,16.3
thamnolic,18,44.042615,-74.260921,6,17.6
squamatic,18,44.042615,-74.260921,5.8,20.83
thamnolic,18,44.042615,-74.260921,3.5,20.12
squamatic,18,44.042615,-74.260921,2.3,22.69
squamatic,22,44.042212,-74.261278,11.3,16.11
squamatic,22,44.042212,-74.261278,11,15.18
squamatic,22,44.042212,-74.261278,10.9,15.79
squamatic,30,44.04226,-74.261092,6.9,22.3
squamatic,30,44.04226,-74.261092,1.3,24.33
squamatic,30,44.04226,-74.261092,1.5,24.33
squamatic,35,44.042384,-74.261093,3.5,18.96
thamnolic,35,44.042384,-74.261093,5.3,15.43
squamatic,35,44.042384,-74.261093,4.8,17.3
squamatic,35,44.042384,-74.261093,3.9,17.11
squamatic,35,44.042384,-74.261093,3.3,18.13
squamatic,35,44.042384,-74.261093,2.1,19.08
thamnolic,36,44.04241,-74.261094,12.5,18.53
squamatic,40,44.042337,-74.260834,8.2,16.5
squamatic,41,44.042214,-74.260781,7.6,13.1
squamatic,41,44.042214,-74.260781,4.1,13.19
squamatic,41,44.042214,-74.260781,4.2,14.84
squamatic,41,44.042214,-74.260781,2.9,14.88
squamatic,41,44.042214,-74.260781,4.7,15.62
squamatic,41,44.042214,-74.260781,5.7,16.55
squamatic,49,44.042273,-74.260136,3.3,9.32
thamnolic,49,44.042273,-74.260136,0.7,8.1
thamnolic,51,44.042131,-74.260695,4.5,20.55
squamatic,51,44.042131,-74.260695,6.2,18.85
squamatic,51,44.042131,-74.260695,5.3,21.11
squamatic,51,44.042131,-74.260695,3.2,22.49
thamnolic,54,44.04172,-74.260471,2.2,16.7
squamatic,54,44.04172,-74.260471,3.7,14.52
thamnolic,62,44.041801,-74.261445,0.4,15.79
squamatic,62,44.041801,-74.261445,0.9,16.22
squamatic,64,44.041815,-74.261358,4.7,12.03
squamatic,64,44.041815,-74.261358,4.2,12.39
squamatic,64,44.041815,-74.261358,5.5,13.74
thamnolic,68,44.041648,-74.261487,3.4,9.6
squamatic,68,44.041648,-74.261487,2.5,11.5
squamatic,68,44.041648,-74.261487,5.3,11.9
squamatic,68,44.041648,-74.261487,3.4,12.25
squamatic,68,44.041648,-74.261487,3.3,12.1
squamatic,68,44.041648,-74.261487,3.5,13.1
squamatic,68,44.041648,-74.261487,12.5,14
squamatic,68,44.041648,-74.261487,12.5,14.35
squamatic,68,44.041648,-74.261487,8.1,13.7
squamatic,68,44.041648,-74.261487,3.7,13.65
squamatic,68,44.041648,-74.261487,3.1,15.5
squamatic,68,44.041648,-74.261487,0.9,14.7
squamatic,68,44.041648,-74.261487,15.3,13.15
squamatic,68,44.041648,-74.261487,7.2,14.5
squamatic,68,44.041648,-74.261487,5.1,14.6
squamatic,68,44.041648,-74.261487,5.1,14.9
thamnolic,68,44.041648,-74.261487,5.1,15.1
squamatic,68,44.041648,-74.261487,5.1,14.9
squamatic,68,44.041648,-74.261487,5.1,14.9
squamatic,68,44.041648,-74.261487,4.8,17.4
squamatic,68,44.041648,-74.261487,4.8,17.4
squamatic,68,44.041648,-74.261487,2.2,18.2
thamnolic,68,44.041648,-74.261487,0.4,18
squamatic,68,44.041648,-74.261487,1.7,16.99
squamatic,68,44.041648,-74.261487,1.2,17.25
squamatic,68,44.041648,-74.261487,0.7,17.97
squamatic,72,44.04193,-74.26125,28,11.46
squamatic,72,44.04193,-74.26125,8.1,12.27
squamatic,72,44.04193,-74.26125,7.1,14.52
squamatic,72,44.04193,-74.26125,7,14.66
squamatic,72,44.04193,-74.26125,7.1,14.6
squamatic,72,44.04193,-74.26125,30.8,12.16
squamatic,72,44.04193,-74.26125,7.1,14.59
squamatic,72,44.04193,-74.26125,7.1,14.53
squamatic,72,44.04193,-74.26125,30.8,12.16
squamatic,72,44.04193,-74.26125,8.7,13.65
squamatic,72,44.04193,-74.26125,30.8,12.16
squamatic,72,44.04193,-74.26125,30.6,12.16
squamatic,72,44.04193,-74.26125,39,11.9
squamatic,72,44.04193,-74.26125,39,11.9
squamatic,72,44.04193,-74.26125,28.2,11.63
squamatic,72,44.04193,-74.26125,10,16.38
squamatic,72,44.04193,-74.26125,19,13.4
squamatic,72,44.04193,-74.26125,5.5,16.82
squamatic,72,44.04193,-74.26125,8,16.12
squamatic,72,44.04193,-74.26125,6.7,17.51
squamatic,72,44.04193,-74.26125,6.5,16.85
squamatic,72,44.04193,-74.26125,6.5,16.71
squamatic,72,44.04193,-74.26125,6.5,16.22
squamatic,72,44.04193,-74.26125,5.1,18.22
squamatic,72,44.04193,-74.26125,5.2,11.02
squamatic,72,44.04193,-74.26125,22,12.6
squamatic,72,44.04193,-74.26125,11.1,16.53
squamatic,72,44.04193,-74.26125,4.9,17.5
squamatic,72,44.04193,-74.26125,5,20.65
squamatic,72,44.04193,-74.26125,1.2,20.77
squamatic,72,44.04193,-74.26125,5.7,17.45
squamatic,72,44.04193,-74.26125,4.5,18.62
squamatic,72,44.04193,-74.26125,4.5,18.51
squamatic,76,44.041888,-74.261045,5.8,14.5
